username,rank,track_name,artist
vikingfrog86,6,Love Is Like A Rock,Donnie Iris
vikingfrog86,7,Stranger In A Strange Land,Eddie Money
vikingfrog86,8,Do Ya,Electric Light Orchestra
vikingfrog86,9,Give Me Faith,Elevation Worship
vikingfrog86,10,Botany Bay,Frank Ifield
newman75,1,...and she was beautiful,Before I Turn
newman75,2,Your Voice,Tokyo Tears
newman75,3,Better in My Head,The Ivy
newman75,4,Stasis,City State
newman75,5,Take Me To The Sun,d4vd
newman75,6,Hold On,Flor
newman75,7,Neurotic,Hundredth
newman75,8,love somebody like you,Joan
newman75,9,WASTE,Kxllswxtch
newman75,10,Temperature,MILK.
HeadfulOfHaze,1,Blossom,Maria Chiara Argirò
HeadfulOfHaze,2,Bonsai,Maria Chiara Argirò
HeadfulOfHaze,3,Clouds,Maria Chiara Argirò
HeadfulOfHaze,4,Forest City,Maria Chiara Argirò
HeadfulOfHaze,5,Greenarp,Maria Chiara Argirò
HeadfulOfHaze,6,Home,Maria Chiara Argirò
HeadfulOfHaze,7,Skyr,Maria Chiara Argirò
HeadfulOfHaze,8,Treehouse,Maria Chiara Argirò
HeadfulOfHaze,9,She Wakes Up / First Dimension,Salami Rose Joe Louis
HeadfulOfHaze,10,Suddenly,salami rose joe louis
chefcarlitos,1,It Isn't Perfect But It Might Be,Olivia Dean
chefcarlitos,2,Over The Moon,TOMORROW X TOGETHER
chefcarlitos,3,Always Remember Us This Way,Lady Gaga
chefcarlitos,4,Back for More (with Anitta),TOMORROW X TOGETHER
chefcarlitos,5,Python,GOT7
chefcarlitos,6,Blue Velvet,Lana Del Rey
chefcarlitos,7,拒絕再玩,Leslie Cheung
chefcarlitos,8,無需要太多,Leslie Cheung
chefcarlitos,9,GPT,STAYC
chefcarlitos,10,I LOVE YOUからはじめよう,安全地帯
ford-fiesta,1,Josh Tillman and the Accidental Dose,Father John Misty
ford-fiesta,2,Bubbles Buried in This Jungle,Death Grips
ford-fiesta,3,Mahashmashana,Father John Misty
ford-fiesta,4,She's Electric,Oasis
ford-fiesta,5,Plastic Tramp,Arctic Monkeys
ford-fiesta,6,Wasted & Ready,Ben Kweller
ford-fiesta,7,953,black midi
ford-fiesta,8,Home To You,Cate Le Bon
ford-fiesta,9,Dallas Beltway,Chat Pile
ford-fiesta,10,Ain't Got No Home,"Clarence ""Frogman"" Henry"
Paralytikus,1,Accelerating The Rot,Defeated Sanity
Paralytikus,2,Heredity Violated,Defeated Sanity
Paralytikus,3,Temporal Disintegration,Defeated Sanity
Paralytikus,4,Amputationsdrang,Defeated Sanity
Paralytikus,5,Condemned To Vascular Famine,Defeated Sanity
Paralytikus,6,The Odour Of Sanctity,Defeated Sanity
Paralytikus,7,Extrinsically Enraged,Defeated Sanity
Paralytikus,8,A Patriarchy Perverse,Defeated Sanity
Paralytikus,9,Kisses (feat. bbyclose),Bl3ss
Paralytikus,10,Loyal to None,Kublai Khan TX
Baghdadoverbomb,1,45 RPM Metal,Bütcher
Baghdadoverbomb,2,666 Goats Carry My Chariot,Bütcher
Baghdadoverbomb,3,Iron Bitch,Bütcher
Baghdadoverbomb,4,You Put Up Your Umbrella,Boris
Baghdadoverbomb,5,Brazen Serpent,Bütcher
Baghdadoverbomb,6,Exaltation Of Sulphur,Bütcher
Baghdadoverbomb,7,Inauguration of Steele,Bütcher
Baghdadoverbomb,8,Metallström / Face the Bütcher,Bütcher
Baghdadoverbomb,9,Sentinels Of Dethe,Bütcher
Baghdadoverbomb,10,Viking Funeral,Bütcher
modriskalnins,1,Shine,Alice Phoebe Lou
modriskalnins,2,Wanderlust,FKA twigs
modriskalnins,3,..THUS IS WHY ( I DON’T SPRING 4 LOVE ),Saya Gray
modriskalnins,4,PUDDLE ( OF ME ),Saya Gray
modriskalnins,5,If Only,The Marías
modriskalnins,6,Voyage,ZOË MË
modriskalnins,7,villain,Annahstasia
modriskalnins,8,take a bite,beabadoobee
modriskalnins,9,The Water,Bel Tempo
modriskalnins,10,Celestica,Crystal Castles
levialthan,1,abduct me,cr1tter
levialthan,2,Beating Down Yo Block,Monaleo
levialthan,3,Dive,ziproom
levialthan,4,Don't Hurt Yourself (feat. Jack White),Beyoncé
levialthan,5,Flip Flop,Megan Thee Stallion
levialthan,6,Ghosts,Michael Jackson
levialthan,7,Magic Hour,¿Téo?
levialthan,8,Hëłlœ Kįttÿ,Alice Longyu Gao
levialthan,9,Blue Moon,Billie Holiday
levialthan,10,Solitude,Billie Holiday
ker0senedream,1,Predestination Paradox,Like Moths to Flames
ker0senedream,2,Silver Swarm,Thornhill
ker0senedream,3,angelbyte.,Darknet
ker0senedream,4,Accidents,Alexisonfire
ker0senedream,5,HELLSCAPE,CORNER STORE KINGDOM
ker0senedream,6,Melancholiac,CORNER STORE KINGDOM
ker0senedream,7,Revolver,CORNER STORE KINGDOM
ker0senedream,8,Hillbilly Homicide,Guttural Disgorge
ker0senedream,9,GUCCI MACHINE,Gynx
ker0senedream,10,RATKING,HeavensGate
changyun,1,Miss Demeanor,THE BOYZ
changyun,2,Wasted Love,jj
changyun,3,ICH KOMME,Erika Vikman
changyun,4,15 Minutes,Sabrina Carpenter
