username,rank,track_name,artist
momoiro5648,8,Long Day,Matchbox Twenty
momoiro5648,9,Cemetery Drive,My Chemical Romance
momoiro5648,10,Yellow Ledbetter,Pearl Jam
vikingfrog86,1,Layin' It on the Line,Jefferson Starship
vikingfrog86,2,I'm Not Gonna Let It Bother Me Tonight,Atlanta Rhythm Section
vikingfrog86,3,Takin' Care Of Business,Bachman-Turner Overdrive
vikingfrog86,4,You Ain't Seen Nothing Yet,Bachman-Turner Overdrive
vikingfrog86,5,Double Shot Of My Baby's Love,Better Than Ezra
vikingfrog86,6,Rosealia,Better Than Ezra
vikingfrog86,7,It's Still Rock and Roll to Me,Billy Joel
vikingfrog86,8,Will It Go Round In Circles - Single Version,Billy Preston
vikingfrog86,9,Against the Wind,Bob Seger
vikingfrog86,10,Burning Bridges,Collective Soul
newman75,1,Brand New,The Underachievers
newman75,2,Devil,Underoath
newman75,3,Talking in Your Sleep,Acres
newman75,4,Stasis,City State
newman75,5,Fear and Hunger,Dal Av
newman75,6,Mana God,Make Them Suffer
newman75,7,Hounds,NVM
newman75,8,Shalashaska,NVM
newman75,9,Undo,The 1975
newman75,10,Losing Feathers,The Underachievers
HeadfulOfHaze,1,Amethyst,Marta Del Grandi
HeadfulOfHaze,2,Birdsong,Marta Del Grandi
HeadfulOfHaze,3,Lullaby Firefly,Marta Del Grandi
HeadfulOfHaze,4,Shy Heart,Marta Del Grandi
HeadfulOfHaze,5,Somebody New,Marta Del Grandi
HeadfulOfHaze,6,Swim To Me,Marta Del Grandi
HeadfulOfHaze,7,Taller Than His Shadow,Marta Del Grandi
HeadfulOfHaze,8,Totally Fine,Marta Del Grandi
HeadfulOfHaze,9,The Outsider,A Perfect Circle
HeadfulOfHaze,10,Visions,A Produce
chefcarlitos,1,KNOW ABOUT ME,NMIXX
chefcarlitos,2,HOT,LE SSERAFIM
chefcarlitos,3,The Chase,Hearts2Hearts
chefcarlitos,4,CUNTISSIMO,Marina
chefcarlitos,5,BEBE,STAYC
chefcarlitos,7,CRAZY,LE SSERAFIM
chefcarlitos,8,AIR,Yeji
chefcarlitos,9,Virtual Angel,ARTMS
chefcarlitos,10,ZOOM,BADVILLAIN
ford-fiesta,1,Brain Stew,Green Day
ford-fiesta,2,Portofino 2,Raymond Scott
ford-fiesta,3,Turnin' on the Screw,Queens of the Stone Age
ford-fiesta,4,Snap Out of It,Arctic Monkeys
ford-fiesta,5,"Sick, Sick, Sick",Queens of the Stone Age
ford-fiesta,6,6/1,Shame
ford-fiesta,7,Reptilia,The Strokes
ford-fiesta,8,College,Animal Collective
ford-fiesta,9,pigs slurping at the trough,Asbestos Salesman
ford-fiesta,10,Let's Get It Started,Black Eyed Peas
Paralytikus,1,Deliverance of Horrific Prophecies,Incantation
Paralytikus,2,Devoured Death,Incantation
Paralytikus,3,Blasphemous Cremation,Incantation
Paralytikus,4,Christening the Afterbirth,Incantation
Paralytikus,5,Eternal Torture,Incantation
Paralytikus,6,Golgotha,Incantation
Paralytikus,7,Immortal Cessation,Incantation
Paralytikus,8,Profanation,Incantation
Paralytikus,9,Rotting Spiritual Embodiment,Incantation
Paralytikus,10,Entrantment of Evil,Incantation
Baghdadoverbomb,1,String Quartet No. 5: —,Kronos Quartet
Baghdadoverbomb,2,String Quartet No. 2 (Company): —,Kronos Quartet
Baghdadoverbomb,3,I Want to Take You Higher,Sly & The Family Stone
Baghdadoverbomb,4,String Quartet No. 4 (Buczak): —,Kronos Quartet
Baghdadoverbomb,5,Stand!,Sly & The Family Stone
Baghdadoverbomb,6,You Can Make It If You Try,Sly & The Family Stone
Baghdadoverbomb,7,Tenshi no Chime,Coco
Baghdadoverbomb,8,Bruises,Skindred
Baghdadoverbomb,9,The Venerable Uncle Tompa,Sun City Girls
Baghdadoverbomb,10,Can I Kick It?,A Tribe Called Quest
modriskalnins,1,bloodonmyhands (feat. Flo Milli),Tate McRae
modriskalnins,2,Baller,Abor & Tynna
modriskalnins,3,You and I,Alice Phoebe Lou
modriskalnins,4,U Should Not Be Doing That,Amyl and the Sniffers
modriskalnins,5,Girl Feels Good,FKA twigs
modriskalnins,6,BUENÍSIMO,Juana Rozas
modriskalnins,7,PUERTA,Juana Rozas
modriskalnins,8,reprogram,Kilo Kish
modriskalnins,9,23:42,Rachel Chinouriri
modriskalnins,10,Indigo,Rachel Chinouriri
levialthan,1,REGULAR,BLORG
levialthan,2,Arc de Triomphe,Aminé
levialthan,3,Monster,Lady Gaga
levialthan,4,So Happy I Could Die,Lady Gaga
levialthan,5,Teeth,Lady Gaga
