username,track_name,artist,rank,playcount
lunariarex,George the Lobster,Xdinary Heroes,4,7
lunariarex,more than i like,Xdinary Heroes,5,7
lunariarex,BBB (Bitter But Better),Xdinary Heroes,6,6
lunariarex,Supernatural,Xdinary Heroes,7,6
lunariarex,Boy Comics,Xdinary Heroes,8,3
lunariarex,FEELING NICE,Xdinary Heroes,9,3
lunariarex,iNSTEAD!,Xdinary Heroes,10,3
vapowrave,Ain't No Thang,OutKast,1,12
vapowrave,Xxplosive,Dr. Dre,2,6
vapowrave,21 Questions,50 Cent,3,4
vapowrave,Me and the Birds,Duster,4,4
vapowrave,Robbery,Necro,5,4
vapowrave,ATLiens,OutKast,6,4
vapowrave,Rosa Parks,OutKast,7,4
vapowrave,Gangsta Nation,Westside Connection,8,4
vapowrave,"Scenario (feat. Busta Rhymes, Dinco D & Charlie Brown) - LP Mix",A Tribe Called Quest,9,3
vapowrave,Breathe (feat. Sean Paul) - Rap Version,Blu Cantrell,10,3
warjhybrid1,Into The Dawn - James Holden Mix,Accadia,1,2
warjhybrid1,A Little Bit,Disclosure,2,2
warjhybrid1,Right Behind You Baby,Ray Smith,3,2
warjhybrid1,MIRCHI TEST,Skrillex,4,2
warjhybrid1,SQUISHY CLIP,Skrillex,5,2
warjhybrid1,Velvet - Remastered Mike Monday Remix,Velvet Girl,6,2
warjhybrid1,Torture Me (feat. Skrillex),100 gecs,7,1
warjhybrid1,Into The Night (Original Instrumental),4 Strings,8,1
warjhybrid1,Malfunktion,Adapter,9,1
warjhybrid1,Balkan - Original Mix,Ale Mora,10,1
chivalryintro,Zjerm,Shkodra Elektronike,1,6
chivalryintro,One Night in Bangkok,Murray Head,2,5
chivalryintro,Bara Bada Bastu,Kaj,3,4
chivalryintro,SURPRISE-DRIVE,Mitsuru Matsuoka EARNEST DRIVE,4,4
chivalryintro,MALL,Eugent Bushpepa,5,2
chivalryintro,"Heaven In My Hands - 7"" Version",Level 42,6,2
chivalryintro,Switch On!,Anna Tsuchiya,7,1
chivalryintro,Origami,Artem Valter,8,1
chivalryintro,Look Away,Big Country,9,1
chivalryintro,Sotterraneo,Bluvertigo,10,1
bananaabread,Miss,Hana Stretton,1,2
bananaabread,"Peace, Prosperity & Paper",A Tribe Called Quest,2,1
bananaabread,happy ever after,aldn & midwxst,3,1
bananaabread,I Like It,Bent Knee,4,1
bananaabread,"Nice Moleskin, You Can Write In That With Your Head Up Your Ass?",Binary,5,1
bananaabread,CINEMA 1,BROCKHAMPTON,6,1
